     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
       107    1.9929521142E-10    3.4497653068E-09    5.8601379778E-07   -4.7388834092E-01
       108    1.9519166208E-10    3.4016897632E-09    5.7687941385E-07   -4.7388834068E-01
       109    1.9119449248E-10    3.3542135736E-09    5.6788701675E-07   -4.7388834044E-01
       110    1.8730150326E-10    3.3073302985E-09    5.5903443183E-07   -4.7388834021E-01
       111    1.8348884868E-10    3.2610328327E-09    5.5031951532E-07   -4.7388833998E-01
       112    1.7977967995E-10    3.2153145146E-09    5.4174015414E-07   -4.7388833975E-01
       113    1.7616126390E-10    3.1701701264E-09    5.3329426533E-07   -4.7388833953E-01
       114    1.7262677094E-10    3.1255918964E-09    5.2497979623E-07   -4.7388833931E-01
       115    1.6917643257E-10    3.0815748842E-09    5.1679472370E-07   -4.7388833909E-01
       116    1.6581267967E-10    3.0381130389E-09    5.0873705429E-07   -4.7388833888E-01
       117    1.6251571796E-10    2.9952002545E-09    5.0080482347E-07   -4.7388833867E-01
       118    1.5931066651E-10    2.9528308132E-09    4.9299609564E-07   -4.7388833847E-01
       119    1.5617020688E-10    2.9109995525E-09    4.8530896378E-07   -4.7388833827E-01
       120    1.5311089220E-10    2.8697003662E-09    4.7774154900E-07   -4.7388833807E-01
       121    1.5010864521E-10    2.8289288134E-09    4.7029200025E-07   -4.7388833787E-01
       122    1.4717897722E-10    2.7886781773E-09    4.6295849416E-07   -4.7388833768E-01
       123    1.4432501364E-10    2.7489439614E-09    4.5573923443E-07   -4.7388833749E-01
       124    1.4152360327E-10    2.7097208921E-09    4.4863245172E-07   -4.7388833730E-01
       125    1.3879129921E-10    2.6710032519E-09    4.4163640329E-07   -4.7388833712E-01
       126    1.3611837798E-10    2.6327865443E-09    4.3474937253E-07   -4.7388833694E-01
       127    1.3350588136E-10    2.5950650517E-09    4.2796966879E-07   -4.7388833676E-01
       128    1.3094350708E-10    2.5578340557E-09    4.2129562687E-07   -4.7388833659E-01
       129    1.2844236771E-10    2.5210883936E-09    4.1472560696E-07   -4.7388833642E-01
       130    1.2600234750E-10    2.4848229585E-09    4.0825799393E-07   -4.7388833625E-01
       131    1.2360943997E-10    2.4490336425E-09    4.0189119735E-07   -4.7388833608E-01
       132    1.2126283483E-10    2.4137132848E-09    3.9562365094E-07   -4.7388833592E-01
       133    1.1898059001E-10    2.3788592207E-09    3.8945381234E-07   -4.7388833576E-01
       134    1.1672601087E-10    2.3444654551E-09    3.8338016276E-07   -4.7388833560E-01
       135    1.1453312966E-10    2.3105276026E-09    3.7740120649E-07   -4.7388833544E-01
       136    1.1239395923E-10    2.2770401120E-09    3.7151547099E-07   -4.7388833529E-01
       137    1.1028245447E-10    2.2439989311E-09    3.6572150603E-07   -4.7388833514E-01
       138    1.0823114283E-10    2.2113990639E-09    3.6001788386E-07   -4.7388833499E-01
       139    1.0621432646E-10    2.1792355698E-09    3.5440319854E-07   -4.7388833484E-01
       140    1.0424427551E-10    2.1475032308E-09    3.4887606578E-07   -4.7388833470E-01
       141    1.0230559443E-10    2.1161986052E-09    3.4343512270E-07   -4.7388833456E-01
