 istep =  100001
     ik     ic     iv              Real              Imag               Abs
    139      1      1   2.591713678E-02  -6.958589057E-03   2.683505060E-02
    140      1      1   2.287658271E-02  -7.167444746E-03   2.397311620E-02
    141      1      1   1.981484709E-02  -8.945636982E-03   2.174057465E-02
    142      1      1   1.710955709E-02  -1.042636688E-02   2.003611914E-02
    143      1      1   1.449580933E-02  -8.615288917E-03   1.686273084E-02
    144      1      1   1.205568636E-02  -8.361878605E-03   1.467176156E-02
    145      1      1   9.330387385E-03  -6.666485933E-03   1.146726486E-02
    146      1      1   7.558155350E-03   1.213084315E-03   7.654886404E-03
    147      1      1   8.593399215E-03   7.288251720E-03   1.126788016E-02
    148      1      1   1.086460753E-02   7.984354338E-03   1.348293777E-02
    149      1      1   1.339486128E-02   7.774017768E-03   1.548733873E-02
    150      1      1   1.512319223E-02   8.028247217E-03   1.712202373E-02
    151      1      1   1.697580223E-02   7.598032360E-03   1.859860095E-02
    152      1      1   1.922317883E-02   7.557088211E-03   2.065527019E-02
    153      1      1   2.170642080E-02   7.225191259E-03   2.287732704E-02
    154      1      1   2.449118564E-02   7.039429379E-03   2.548277340E-02
    155      1      1   2.780641591E-02   7.082246840E-03   2.869416292E-02
    156      1      1   3.186355183E-02   6.808240753E-03   3.258278805E-02
    157      1      1   3.616794195E-02   7.418825006E-03   3.692098305E-02
    158      1      1   3.986412338E-02   8.271921106E-03   4.071330264E-02
    159      1      1   4.278340775E-02   9.948838491E-03   4.392492875E-02
    160      1      1   2.607823921E-02   1.365439624E-02   2.943666246E-02
    161      1      1  -4.430431794E-03   1.312137125E-02   1.384915555E-02
    162      1      1  -3.625751614E-02   9.490179924E-03   3.747894065E-02
    163      1      1  -6.499150662E-02   2.942036905E-03   6.505806263E-02
    164      1      1  -7.712028920E-02  -1.301592057E-03   7.713127218E-02
    165      1      1  -8.070446811E-02  -3.123893596E-03   8.076490503E-02
    166      1      1  -8.034408789E-02  -3.490452430E-03   8.041987141E-02
    167      1      1  -7.682812209E-02  -3.323974475E-03   7.689999447E-02
    168      1      1  -7.132703108E-02  -3.103440412E-03   7.139451453E-02
    169      1      1  -6.464107035E-02  -2.873193914E-03   6.470489332E-02
    170      1      1  -5.760338738E-02  -2.658964440E-03   5.766472344E-02
    171      1      1  -5.067086781E-02  -2.099027884E-03   5.071432502E-02
    172      1      1  -4.411736694E-02  -1.753397885E-03   4.415219666E-02
    173      1      1  -3.816893561E-02  -1.533878903E-03   3.819974385E-02
    174      1      1  -3.291207874E-02  -1.244478294E-03   3.293559858E-02
    175      1      1  -2.835300846E-02  -9.955289224E-04   2.837048055E-02
    176      1      1  -2.423416821E-02  -8.420837284E-04   2.424879407E-02
    177      1      1  -2.105802254E-02  -7.592985882E-04   2.107170728E-02
